"REF_DATE","GEO","DGUID","Labour productivity measures and related variables","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","95.464","","","","3"
"2010-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","96.542","","","","3"
"2011-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","97.256","","","","3"
"2011-04","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","97.443","","","","3"
"2011-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","98.795","","","","3"
"2011-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","99.579","","","","3"
"2012-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","99.627","","","","3"
"2012-04","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","99.963","","","","3"
"2012-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","100.101","","","","3"
"2012-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","100.309","","","","3"
"2013-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","101.201","","","","3"
"2013-04","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","101.795","","","","3"
"2013-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","102.622","","","","3"
"2013-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","103.702","","","","3"
"2014-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","103.851","","","","3"
"2014-04","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","104.819","","","","3"
"2014-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","105.822","","","","3"
"2014-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","106.570","","","","3"
"2015-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","105.997","","","","3"
"2015-04","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","105.717","","","","3"
"2015-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","106.090","","","","3"
"2015-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","106.163","","","","3"
"2016-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","106.746","","","","3"
"2016-04","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","106.224","","","","3"
"2016-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","107.321","","","","3"
"2016-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","107.922","","","","3"
"2017-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","109.095","","","","3"
"2017-04","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","110.211","","","","3"
"2017-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","110.676","","","","3"
"2017-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","111.249","","","","3"
"2018-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","111.980","","","","3"
"2018-04","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","112.704","","","","3"
"2018-07","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","113.476","","","","3"
"2018-10","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","113.789","","","","3"
"2019-01","Canada","2016A000011124","Real gross domestic product (GDP)","Total economy","Index, 2012=100","348","units","0","v29509276","1.1.19","113.890","","","","3"
