"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Categories","Expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","19091","","","","0"
"2010-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","19250","","","","0"
"2010-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","19414","","","","0"
"2011-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","19564","","","","0"
"2011-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","19667","","","","0"
"2011-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","19803","","","","0"
"2011-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","19982","","","","0"
"2012-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20017","","","","0"
"2012-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20048","","","","0"
"2012-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","19997","","","","0"
"2012-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20095","","","","0"
"2013-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20136","","","","0"
"2013-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20225","","","","0"
"2013-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20357","","","","0"
"2013-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20546","","","","0"
"2014-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20704","","","","0"
"2014-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20961","","","","0"
"2014-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","21080","","","","0"
"2014-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","21230","","","","0"
"2015-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","21316","","","","0"
"2015-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","21453","","","","0"
"2015-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","21550","","","","0"
"2015-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","21630","","","","0"
"2016-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","21882","","","","0"
"2016-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","22065","","","","0"
"2016-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","22483","","","","0"
"2016-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","22555","","","","0"
"2017-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","22785","","","","0"
"2017-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","23122","","","","0"
"2017-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","23411","","","","0"
"2017-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","23480","","","","0"
"2018-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","23529","","","","0"
