"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Commodities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","46162","","","","0"
"2010-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","46232","","","","0"
"2010-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","46564","","","","0"
"2011-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","46556","","","","0"
"2011-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","46957","","","","0"
"2011-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","47372","","","","0"
"2011-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","47725","","","","0"
"2012-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","47599","","","","0"
"2012-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","47675","","","","0"
"2012-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","47596","","","","0"
"2012-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","47794","","","","0"
"2013-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","47942","","","","0"
"2013-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","48376","","","","0"
"2013-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","48862","","","","0"
"2013-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","49373","","","","0"
"2014-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","49745","","","","0"
"2014-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","50398","","","","0"
"2014-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","50533","","","","0"
"2014-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","50917","","","","0"
"2015-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","51061","","","","0"
"2015-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","51481","","","","0"
"2015-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","51785","","","","0"
"2015-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","52001","","","","0"
"2016-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","52530","","","","0"
"2016-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","52787","","","","0"
"2016-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","53473","","","","0"
"2016-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","53511","","","","0"
"2017-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","54071","","","","0"
"2017-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","54730","","","","0"
"2017-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","55165","","","","0"
"2017-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","55405","","","","0"
"2018-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","55346","","","","0"
"2018-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","55591","","","","0"
"2018-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","55912","","","","0"
"2018-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","56137","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","56191","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","56422","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","56328","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","56430","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","50330","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v19458045","1.3.2.1","27579","","","","0"
"2010-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","22002","","","","0"
"2010-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","22174","","","","0"
"2010-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","22534","","","","0"
"2011-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","22635","","","","0"
"2011-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","22786","","","","0"
"2011-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","23081","","","","0"
"2011-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","23208","","","","0"
"2012-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","22918","","","","0"
"2012-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","22974","","","","0"
"2012-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","22897","","","","0"
"2012-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","23008","","","","0"
"2013-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","23010","","","","0"
"2013-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","23227","","","","0"
"2013-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","23582","","","","0"
"2013-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","24092","","","","0"
"2014-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","24452","","","","0"
"2014-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","24697","","","","0"
"2014-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","24734","","","","0"
"2014-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","25008","","","","0"
"2015-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","25245","","","","0"
"2015-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","25324","","","","0"
"2015-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","25467","","","","0"
"2015-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","25631","","","","0"
"2016-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v19458046","1.3.2.2","25925","","","","0"
