"REF_DATE","GEO","DGUID","Operational and financial statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6594","","","","0"
"2018-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6332","","","","0"
"2018-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7430","","","","0"
"2018-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6744","","","","0"
"2018-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6631","","","","0"
"2018-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7133","","","","0"
"2018-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","8133","","","","0"
"2018-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","8463","","","","0"
"2018-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6946","","","","0"
"2018-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6615","","","","0"
"2018-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6090","","","","0"
"2018-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6928","","","","0"
"2019-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6882","","","","0"
"2019-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6667","","","","0"
"2019-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7688","","","","0"
"2019-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7054","","","","0"
"2019-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6822","","","","0"
"2019-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7204","","","","0"
"2019-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","8028","","","","0"
"2019-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","8276","","","","0"
"2019-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6913","","","","0"
"2019-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6608","","","","0"
"2019-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6145","","","","0"
"2019-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7172","","","","0"
"2020-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7056","","","","0"
"2020-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6889","","","","0"
"2020-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","4300","","","","0"
"2020-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","213","","","","0"
"2020-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","224","","","","0"
"2020-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","440","","","","0"
"2020-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","845","","","","0"
"2020-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","1091","","","","0"
"2020-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","914","","","","0"
"2018-01","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17381148","","","","0"
"2018-02","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","16153249","","","","0"
"2018-03","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","19128668","","","","0"
"2018-04","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17147488","","","","0"
"2018-05","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17120279","","","","0"
"2018-06","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","19968188","","","","0"
"2018-07","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","23167914","","","","0"
"2018-08","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","24047825","","","","0"
"2018-09","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","19748951","","","","0"
"2018-10","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17206554","","","","0"
"2018-11","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","14893933","","","","0"
"2018-12","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17661156","","","","0"
"2019-01","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","18289921","","","","0"
"2019-02","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17199691","","","","0"
"2019-03","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","19851949","","","","0"
"2019-04","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","18017347","","","","0"
"2019-05","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17891206","","","","0"
"2019-06","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","20291513","","","","0"
"2019-07","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","22782656","","","","0"
"2019-08","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","23479333","","","","0"
"2019-09","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","19494651","","","","0"
"2019-10","Canada","2016A000011124","Passenger-kilometres","Number","223","thousands","3","v11744","1.2","17289014","","","","0"
