"REF_DATE","GEO","DGUID","Seasonal adjustment","Activities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","653.3","","","","1"
"2010-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","657.8","","","","1"
"2010-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","679.8","","","","1"
"2010-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","632.9","","","","1"
"2011-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","652.6","","","","1"
"2011-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","662.8","","","","1"
"2011-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","692.4","","","","1"
"2011-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","649.6","","","","1"
"2012-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","664.1","","","","1"
"2012-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","676.3","","","","1"
"2012-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","704.1","","","","1"
"2012-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","658.6","","","","1"
"2013-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","672.1","","","","1"
"2013-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","688.8","","","","1"
"2013-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","719.1","","","","1"
"2013-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","670.9","","","","1"
"2014-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","679.5","","","","1"
"2014-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","703.1","","","","1"
"2014-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","733.3","","","","1"
"2014-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","685.2","","","","1"
"2015-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","687.9","","","","1"
"2015-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","712.6","","","","1"
"2015-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","745.9","","","","1"
"2015-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","695.0","","","","1"
"2016-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","699.9","","","","1"
"2016-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","720.8","","","","1"
"2016-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","758.2","","","","1"
"2016-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","706.8","","","","1"
"2017-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","712.3","","","","1"
"2017-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","737.2","","","","1"
"2017-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","772.5","","","","1"
"2017-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","721.1","","","","1"
"2018-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","719.3","","","","1"
"2018-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","741.9","","","","1"
"2018-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","776.8","","","","1"
"2018-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","720.6","","","","1"
"2019-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","729.2","","","","1"
"2019-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","749.2","","","","1"
"2019-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","783.0","","","","1"
