"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Categories","Expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24105","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24213","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24192","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","24211","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","20760","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Tourism expenditures","Dollars","81","millions","6","v19457997","1.3.2.1.1","6988","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total tourism commodities","Dollars","81","millions","6","v19457998","1.3.2.1.2","20411","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total tourism commodities","Dollars","81","millions","6","v19457998","1.3.2.1.2","20523","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total tourism commodities","Dollars","81","millions","6","v19457998","1.3.2.1.2","20489","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total tourism commodities","Dollars","81","millions","6","v19457998","1.3.2.1.2","20523","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total tourism commodities","Dollars","81","millions","6","v19457998","1.3.2.1.2","17565","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total tourism commodities","Dollars","81","millions","6","v19457998","1.3.2.1.2","5721","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","10120","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","10119","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","10071","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","10140","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","8662","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","1947","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger air transport","Dollars","81","millions","6","v19458000","1.3.2.1.4","5760","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger air transport","Dollars","81","millions","6","v19458000","1.3.2.1.4","5756","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger air transport","Dollars","81","millions","6","v19458000","1.3.2.1.4","5703","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger air transport","Dollars","81","millions","6","v19458000","1.3.2.1.4","5785","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger air transport","Dollars","81","millions","6","v19458000","1.3.2.1.4","4875","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger air transport","Dollars","81","millions","6","v19458000","1.3.2.1.4","247","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger rail transport","Dollars","81","millions","6","v19458001","1.3.2.1.5","85","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger rail transport","Dollars","81","millions","6","v19458001","1.3.2.1.5","86","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger rail transport","Dollars","81","millions","6","v19458001","1.3.2.1.5","87","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger rail transport","Dollars","81","millions","6","v19458001","1.3.2.1.5","87","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger rail transport","Dollars","81","millions","6","v19458001","1.3.2.1.5","52","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Passenger rail transport","Dollars","81","millions","6","v19458001","1.3.2.1.5","6","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Interurban bus transport","Dollars","81","millions","6","v19458002","1.3.2.1.6","158","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Interurban bus transport","Dollars","81","millions","6","v19458002","1.3.2.1.6","160","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Interurban bus transport","Dollars","81","millions","6","v19458002","1.3.2.1.6","160","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Interurban bus transport","Dollars","81","millions","6","v19458002","1.3.2.1.6","147","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Interurban bus transport","Dollars","81","millions","6","v19458002","1.3.2.1.6","139","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Interurban bus transport","Dollars","81","millions","6","v19458002","1.3.2.1.6","29","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle rental","Dollars","81","millions","6","v19458003","1.3.2.1.7","312","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle rental","Dollars","81","millions","6","v19458003","1.3.2.1.7","317","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle rental","Dollars","81","millions","6","v19458003","1.3.2.1.7","319","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle rental","Dollars","81","millions","6","v19458003","1.3.2.1.7","315","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle rental","Dollars","81","millions","6","v19458003","1.3.2.1.7","300","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle rental","Dollars","81","millions","6","v19458003","1.3.2.1.7","99","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle repairs and parts","Dollars","81","millions","6","v19458004","1.3.2.1.8","746","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle repairs and parts","Dollars","81","millions","6","v19458004","1.3.2.1.8","747","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle repairs and parts","Dollars","81","millions","6","v19458004","1.3.2.1.8","731","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle repairs and parts","Dollars","81","millions","6","v19458004","1.3.2.1.8","732","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle repairs and parts","Dollars","81","millions","6","v19458004","1.3.2.1.8","640","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle repairs and parts","Dollars","81","millions","6","v19458004","1.3.2.1.8","317","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle fuel","Dollars","81","millions","6","v19458005","1.3.2.1.9","2858","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle fuel","Dollars","81","millions","6","v19458005","1.3.2.1.9","2851","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle fuel","Dollars","81","millions","6","v19458005","1.3.2.1.9","2869","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle fuel","Dollars","81","millions","6","v19458005","1.3.2.1.9","2869","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Vehicle fuel","Dollars","81","millions","6","v19458005","1.3.2.1.9","2480","","","","0"
