"REF_DATE","GEO","DGUID","Indicator","Work activity","Sex","Age","Immigrant status","Industry","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Total, immigrant and non-immigrant jobs","Transportation","Jobs","190","units","0","v1212274536","1.1.1.1.1.1.2","237644","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Total, immigrant and non-immigrant jobs","Accommodation","Jobs","190","units","0","v1212274539","1.1.1.1.1.1.5","188891","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Total, immigrant and non-immigrant jobs","Food and beverage services","Jobs","190","units","0","v1212274540","1.1.1.1.1.1.6","1043122","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Total, immigrant and non-immigrant jobs","Recreation and entertainment","Jobs","190","units","0","v1212274541","1.1.1.1.1.1.7","215649","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Total, immigrant and non-immigrant jobs","Travel services","Jobs","190","units","0","v1212274542","1.1.1.1.1.1.8","41465","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Immigrant jobs","Transportation","Jobs","190","units","0","v1212274656","1.1.1.1.1.2.2","64693","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Immigrant jobs","Accommodation","Jobs","190","units","0","v1212274659","1.1.1.1.1.2.5","66781","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Immigrant jobs","Food and beverage services","Jobs","190","units","0","v1212274660","1.1.1.1.1.2.6","296770","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Immigrant jobs","Recreation and entertainment","Jobs","190","units","0","v1212274661","1.1.1.1.1.2.7","36897","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Immigrant jobs","Travel services","Jobs","190","units","0","v1212274662","1.1.1.1.1.2.8","15675","","","","0"
"2018","Canada","2016A000011124","Number of jobs","Total, full-time and part-time jobs","Both sexes","All ages","Non-immigrant jobs","Transportation","Jobs","190","units","0","v1212274776","1.1.1.1.1.3.2","172951","","","","0"
